epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,367.147,0.49229,0.31386,0.89676,0.9767,0.93583,0.97959,0.73877,0.78475,0.42732,0.98488,0.000198202,0.000198202,0.000198202
89,371.382,0.50702,0.31545,0.89976,0.97657,0.93144,0.97867,0.7444,0.75598,0.44012,0.96501,0.000184055,0.000184055,0.000184055
90,375.54,0.4905,0.31,0.88385,0.98094,0.92404,0.97911,0.72698,0.78993,0.43856,0.98752,0.000169908,0.000169908,0.000169908
91,392.855,0.52704,0.33793,0.88417,0.98011,0.91766,0.97557,0.73836,0.75919,0.44384,0.9684,0.000155761,0.000155761,0.000155761
92,396.911,0.49598,0.30375,0.89037,0.97282,0.91785,0.96948,0.72937,0.77145,0.47063,0.98014,0.000141614,0.000141614,0.000141614
93,401.003,0.477,0.29798,0.87869,0.9768,0.92479,0.97377,0.73254,0.77664,0.46488,0.98752,0.000127467,0.000127467,0.000127467
94,405.162,0.49342,0.30457,0.8804,0.97802,0.92986,0.97779,0.74243,0.77416,0.45196,0.9855,0.00011332,0.00011332,0.00011332
95,409.325,0.4705,0.28631,0.88475,0.98334,0.93181,0.97844,0.74841,0.78718,0.43795,0.9939,9.91726e-05,9.91726e-05,9.91726e-05
96,413.464,0.45824,0.28315,0.87618,0.97324,0.93352,0.97601,0.7504,0.77791,0.433,0.98815,8.50255e-05,8.50255e-05,8.50255e-05
97,417.512,0.46243,0.29218,0.86533,0.97485,0.93327,0.97468,0.73381,0.77549,0.4342,0.98553,7.08784e-05,7.08784e-05,7.08784e-05
98,421.515,0.46896,0.29602,0.87274,0.97742,0.93099,0.97402,0.73919,0.76695,0.43339,0.98025,5.67313e-05,5.67313e-05,5.67313e-05
99,425.521,0.45146,0.2859,0.87469,0.97534,0.93392,0.97457,0.73393,0.76718,0.43366,0.98024,4.25842e-05,4.25842e-05,4.25842e-05
100,429.539,0.45052,0.28453,0.86561,0.97393,0.93398,0.97474,0.73482,0.76507,0.43305,0.97954,2.84371e-05,2.84371e-05,2.84371e-05
